Marca temporal,¿Cuál es tu promedio actual?,Numero de cuenta,  ¿Cuántas horas dedicas al estudio semanalmente y cómo las distribuyes?  ,¿Cuántas materias debes actualmente?,¿Cuántas materias has reprobado durante la carrera?,¿Cuántos años llevas en la carrera?,¿Cuál es la raíz de que debas materias?,¿Los profesores te han apoyado durante la carrera?,"  ¿Qué factores externos (familiares, laborales, sociales) afectan tu desempeño académico?  ",  ¿Qué cambios o mejoras sugerirías en el sistema educativo para mejorar el rendimiento académico?  ,  ¿Te parece que los exámenes reflejan de manera justa tu nivel de conocimiento? ¿Por qué?  ,  ¿Cómo gestionas tu tiempo entre tus responsabilidades académicas y otras actividades?  
2025-02-24 19:58:57.523,8.6,314687144,"22, clases y un poco en casa. ",0,4,3 1/2,no debo,si,"trabajo full time, aveces no tengo mucho tiempo de dedicarle mucho tiempo fuera de la escuela","mejores planes de estudio, tecnología ","no, por qué muchas personas que si saben se ponen muy nerviosas y no les va bien. ","priorizo las tareas, tanto personales como académicas. "
2025-02-26 03:48:28.149,8.0,318104263,Le dedico 8 horas ,Ninguna ,3,4,No debo,Si,Factores de trabajo,Mejorar las formas de evaluación ,Si porque reflejan las horas de estudio que le dedicas y la atención que tomas en clase ,Haciendo una agenda de actividades 
2025-02-27 15:20:30.692,8.0,318709734,32 horas a la semana entre clases y tareas,2,7,4,Formas de evaluación,Si,"Laborales, sociales",La flexibilidad,"No, porque no todos tenemos las mismas habilidades",Por relevancia
2025-02-27 19:43:23.697,8.4,421039692,2,0,5,5,Flojera ,Si,Transporte,Horarios y materias ,No,Aun no se gestionar
2025-02-27 20:05:27.417,8.2,317075261,En las horas de escuela libres ,0,5,5,Mi desempeño académico ,Algunos ,Sociales ,Mejores horarios para las clases ,"No, ya que muchas veces los exámenes son estresantes ",Depende del día de la semana
2025-02-28 00:20:12.426,8.5,422068044,1.5 estudio antes de los exámenes,0,0,3,-,"Mucho, les estoy muy agradecida","muy bueno amigos, novios, fiestas",aprender a pedir ayuda,En general si,Me enfoco un día en resolver mis tareas
2025-02-28 16:05:17.382,8.4,421039692,"2, cuando puedo",0,4,5,Desinterés o dificultades de la materia,Si,Tiempo de estudio y trabajo ,Mejores horarios y enseñanza de los profesores,No,Aún no tengo definido 
2025-02-28 16:15:10.741,8.9,421087105,10,2,8,5,calculo,sí,familiares y sociales,más clases de regularización,no,mal
2025-02-28 17:30:25.053,7.8,319289619,2 horas los fines de semana ,4,3,Al final de este semestre serán 4 años,Mala enseñanza de los profesores,En su mayoría si,Familiares y laborales.,Mejorar y actualizar los temarios,"No, llegan a colocar ejercicios con un grado de dificultad significativamente más alto en los exámenes que en los ejercicios propuestos en clase.",Con la famosa técnica de 25 minutos trabajar/estudiar y 5 minutos de descanso
2025-02-28 17:37:40.874,8.87,422079312,"en clases dedico 46 horas a la semana y en estudio invierto 32, 6 los lunes y miércoles, 2 martes y jueves y 8 sábados y domingos aunque en ocasiones ocupo uno de los fines de semana para actividades de esparcimiento ",0,0,4 considerando que se cuentan al término de este semestre ,,"No a pasar una materia, pero sí motivandome a seguir al ritmo que voy, con palabras de aliento en ocasiones y con trabajos extras para subir de calificación ","familiares: apoyo económico, emocional
sociales: amigos que nos coordinamos para trabajar en diferentes materias y sacar todos los trabajos a tiempo",,"sí, más cuando te permiten llevar formularios y equipo de cómputo pues hacen que el obtener un resultado sea consecuencia del conocimiento que en verdad te apropiaste y no el tiempo o lo bien que sepas hacer cuentas","cada una de mis responsabilidades tiene un horario asignado, de modo que si tengo que dejar de hacer una tarea por cumplirla, lo hago, de otro modo no puedo mantener orden en mis días."
2025-02-28 17:53:22.843,9.29,422087359,2 y lo hago con un horario ,Ningúna ,Ningúna ,4,Que más hubiese reprobado,Si,"Un montón, psicológicos, físicos, naturales, políticos, interpersonales, sociales, etc",Podrían facilitar el acceso,Relativamente ,Con un horario
2025-02-28 17:55:44.383,7.9,317237748,"35 horas, entre semana al menos hago 4 horas diarias y fines de semana le dedico más tiempo. ",3,12,5,Pandemia,"Si, bastante",Sociales y familiares,Seriacion en el plan de estudios,"A veces, ya que hay profesores que no dejaban realizarlo o completarlo","Bastante bien, ya que le doy prioridad a lo académico"
2025-02-28 17:55:48.799,8.5,315124208,"Como 5, la mayoría durante el servicio ",0,6,5,Por mensa,Si,Laboral ,Actualización de profesores y mejores horarios ,No. Por que un examen no define mi conocimiento ,Priorizar lo académico para después poderme divertir en mi tiempo libre 
2025-02-28 18:10:43.801,9.9,319024791,Las necesarias para asistir a todas mis clases y realizar bien todas las tareas y requerimientos,0,0,3.5,No debo,Sí,Intrapersonales sobre todo,"Menos carga de trabajo, más atención a la salud mental",No. Muchas veces me atasco de información para solo vomitarla en el examen y olvidarme después. Aprendería mejor si no tuviera la presión de un examen.,"Me cuesta trabajo, pero siempre priorizo las responsabilidades académicas, para bien o para mal"
2025-02-28 18:44:14.659,9.36,319173930,Cuando puedo y tengo ganas hago tarea,Ninguna,Niguna,3,No hay,Si,Ninguna,Considero que el problema no es el sistema,"Si, porque es una demostración de lo aprendido.","Trato de equilibrar mis tiempos, y no dejar que la escuela sobrepase mis demás actividades."
2025-02-28 18:53:08.739,7.9,419083238,Medio dia de cada dia excepto sabado y domingo,Ninguna,Maybe 4,7,Por mi culpa ,Si Jeanett,Laborales,Mas clases y horarios disponibles,Si,le echo ganas
2025-02-28 20:18:39.405,9.2,422075345,2,0,0,3,no aplica,algunod,tener trabajo,tener más opciones de horarios ,"no, no logran reflejar todo",dividiendo y organizándome semanalmente 
2025-02-28 20:22:01.558,7.89,421041149,5hrs una diaria,3,9,4,tiempo,algunos,trabajo,horarios mas diversos,si por que el estudio y repaso constante te ayudan a evaluar cuanta informacion retienes,trabajo 7 hrs traslados 3 hrs escuela 6 hrs comidas y ocio 2 hrs dormir 6 hrs
2025-02-28 20:23:02.144,7.5,316348838,2,12,No recuerdo,6,Empezar a trabajar,Muy pocos,No lo sé,Clases en línea,"No, pero son eficientes por el poco tiempo y la cantidad de personas ha evaluar","No lo hago, solo cuando tengo tiempo libre hago lo que deba de hacer"
2025-02-28 20:26:49.600,8.0,421077205,2,8,6,6,La vida,No mucho,El trabajo,Ajustar las clases,No,Pues como puedo
